invoice_number,invoice_date,payment_due_date,invoice_type_code,payment_means_type_code,transaction_type,currency_code,tax_category_code,seller_name,seller_trn,seller_address,seller_city,seller_subdivision,seller_country_code,seller_legal_registration,seller_registration_identifier_type,buyer_name,buyer_trn,buyer_address,buyer_city,buyer_subdivision,buyer_country_code,buyer_legal_registration,buyer_registration_identifier_type,line_id,item_name,unit_of_measure,quantity,unit_price,line_net_amount,tax_category,tax_rate,tax_amount,total_without_tax,total_with_tax,amount_due
INV-2026-X-001,2026-04-05,2026-04-26,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 1,100291514500,"Floor 1, Office 1",Dubai,DU,AE,L-600001,DED,1,Data Analytics Workshop,EA,10,1200.0,12000.0,S,0.05,600.0,12000.0,12600.0,12600.0
INV-2026-X-002,2026-04-06,2026-04-20,380,30,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 2,,"Floor 1, Office 2",Ras Al Khaimah,RK,AE,,,1,Compliance Audit Fees,EA,8,2500.0,20000.0,Z,0.0,0.0,20000.0,20000.0,20000.0
INV-2026-X-003,2026-04-05,2026-04-21,380,42,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 3,,"Floor 1, Office 3",Umm Al Quwain,UQ,AE,,,1,Data Analytics Workshop,EA,7,500.0,3500.0,Z,0.0,0.0,3500.0,3500.0,3500.0
INV-2026-X-004,2026-04-01,2026-04-24,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 4,,"Floor 1, Office 4",Ras Al Khaimah,RK,AE,,,1,Enterprise ERP License,EA,2,2500.0,5000.0,E,0.0,0.0,5000.0,5000.0,5000.0
INV-2026-X-005,2026-04-04,2026-04-29,380,30,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 5,,"Floor 1, Office 5",Sharjah,SH,AE,,,1,Network Infrastructure Gear,EA,2,100.0,200.0,Z,0.0,0.0,200.0,200.0,200.0
INV-2026-X-006,2026-04-03,2026-04-17,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 6,100222649101,"Floor 1, Office 6",Ras Al Khaimah,RK,AE,L-600006,DED,1,Managed Security Services,EA,7,100.0,700.0,E,0.0,0.0,700.0,700.0,700.0
INV-2026-X-007,2026-04-04,2026-04-17,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 7,100869419645,"Floor 1, Office 7",Ras Al Khaimah,RK,AE,L-600007,DED,1,Annual Platform Support,EA,8,1200.0,9600.0,Z,0.0,0.0,9600.0,9600.0,9600.0
INV-2026-X-008,2026-04-05,2026-05-01,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 8,100996955347,"Floor 1, Office 8",Fujairah,FU,AE,L-600008,DED,1,Data Analytics Workshop,EA,4,100.0,400.0,Z,0.0,0.0,400.0,400.0,400.0
INV-2026-X-009,2026-04-04,2026-05-01,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 9,100459042115,"Floor 1, Office 9",Umm Al Quwain,UQ,AE,L-600009,DED,1,Compliance Audit Fees,EA,2,100.0,200.0,Z,0.0,0.0,200.0,200.0,200.0
INV-2026-X-010,2026-04-02,2026-04-23,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 10,100415370524,"Floor 2, Office 0",Dubai,DU,AE,L-600010,DED,1,Compliance Audit Fees,EA,4,500.0,2000.0,Z,0.0,0.0,2000.0,2000.0,2000.0
